[INFO][2015-08-20 16:24:45,113][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:25:04,372][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:25:16,793][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:25:39,992][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:49:30,230][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:49:30,238][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:50:38,136][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:52:24,496][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:55:57,945][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:56:10,659][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:56:10,747][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:56:15,623][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:56:33,824][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:56:33,833][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:56:39,388][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:56:56,371][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:57:38,134][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:57:38,200][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:57:38,209][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:57:38,301][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:58:01,315][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:58:01,323][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:58:01,361][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 16:58:01,361][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 16:58:01,371][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
